,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
21,55,3,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
22,55,8,2,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
23,41,4,2,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
24,37,1,1,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
25,35,4,1,6,0,0,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
26,59,4,1,5,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
27,39,5,1,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
28,54,4,2,6,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
29,55,4,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
30,46,1,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
31,59,4,1,5,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
32,49,3,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
33,54,2,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
34,54,3,0,1,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
35,55,4,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
36,34,6,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
37,52,4,1,3,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
38,41,1,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
39,56,4,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
40,58,2,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
41,32,0,1,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
42,38,1,2,5,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
43,57,1,1,6,0,0,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
44,44,1,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
45,42,4,2,5,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
46,57,1,1,6,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
47,40,3,1,3,0,0,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
48,35,1,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
49,45,3,1,3,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
50,54,1,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
51,39,7,1,1,0,0,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
52,60,1,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
53,53,1,2,5,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
54,55,3,1,1,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
55,55,4,1,5,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
56,50,2,1,6,0,0,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
57,45,6,1,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
58,55,10,1,5,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
59,25,4,2,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
60,47,0,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
61,51,3,1,3,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
62,42,3,1,2,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
63,42,3,1,2,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
64,48,1,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
65,37,1,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
66,44,3,2,3,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
67,33,1,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
68,56,1,1,3,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
69,44,3,2,1,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
70,41,2,1,2,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
71,44,2,0,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
72,47,1,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
73,57,8,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
74,37,1,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
75,41,3,0,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
76,55,4,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
77,33,6,1,4,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
78,55,2,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
79,42,3,1,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
80,50,3,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
81,51,3,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
82,38,1,1,4,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
83,49,0,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
84,38,4,2,6,0,0,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
85,31,1,0,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
86,41,2,1,2,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
87,39,1,1,6,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
88,49,4,1,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
89,34,1,1,4,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
90,35,1,1,6,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
91,57,8,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
92,60,1,1,4,0,0,1,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
93,33,10,1,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
94,42,3,1,2,0,0,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
95,45,6,1,5,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
96,42,2,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
97,53,1,0,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
98,37,4,2,5,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
99,44,3,1,2,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
100,54,6,1,3,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
101,49,3,1,1,0,0,0,1,4,0,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
102,54,6,1,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
103,52,1,0,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
104,52,1,0,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
105,43,6,2,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
106,34,7,1,2,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
107,35,1,1,4,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
108,42,0,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
109,43,4,1,4,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
110,60,8,0,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
111,58,10,1,1,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
112,35,6,0,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
113,55,3,1,3,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
114,37,2,1,6,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
115,36,3,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
116,52,1,0,6,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
117,57,3,0,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
118,56,1,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
119,48,3,0,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
120,40,3,1,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
121,49,3,0,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
122,41,6,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
123,45,4,1,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
124,32,1,1,6,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
125,42,1,1,6,0,0,1,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
126,50,1,1,2,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
127,31,4,0,5,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
128,56,8,1,1,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
129,41,4,1,5,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
130,37,3,1,2,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
131,41,4,1,5,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
132,35,3,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
133,37,3,1,2,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
134,52,2,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
135,39,2,0,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
136,39,7,1,1,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
137,56,3,1,1,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
138,34,6,1,4,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
139,45,3,1,3,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
140,43,10,2,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
141,56,2,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
142,39,2,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
143,53,3,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
144,38,3,0,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
145,42,3,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
146,42,3,1,1,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
147,35,1,2,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
148,40,1,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
149,51,3,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
150,60,3,1,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
151,56,0,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
152,39,6,0,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
153,56,0,1,1,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
154,40,3,1,6,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
155,36,3,1,3,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
156,51,3,1,3,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
157,51,3,1,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
158,43,4,2,5,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
159,59,6,1,4,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
160,24,2,2,6,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
161,37,3,2,3,0,1,1,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
162,40,3,1,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
163,42,3,1,3,0,0,0,1,4,0,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
164,39,6,0,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
165,37,0,1,2,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
166,38,6,1,4,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
167,56,1,0,1,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
168,40,3,1,6,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
169,54,2,0,6,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
170,43,3,1,4,0,0,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
171,36,6,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
172,45,4,1,6,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
173,42,1,2,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
174,43,6,1,4,0,0,0,1,4,0,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
175,46,2,1,3,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
176,44,6,1,4,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
177,51,1,2,2,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
178,28,6,1,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
179,37,3,1,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
180,34,4,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
181,46,3,1,2,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
182,42,3,1,3,0,1,1,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
183,36,1,1,6,0,1,0,1,4,0,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
184,54,3,1,1,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
185,57,2,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
186,51,4,1,2,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
187,54,8,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
188,49,3,1,1,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
189,34,1,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
190,41,4,1,5,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
191,38,3,2,3,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
192,45,2,0,6,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
193,42,4,1,6,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
194,34,3,2,3,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
195,48,3,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
196,37,1,1,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
197,34,3,2,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
198,40,1,1,3,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
199,43,3,1,2,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
200,33,6,1,4,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
201,32,6,2,2,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
202,39,3,1,4,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
203,43,1,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
204,44,3,1,3,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
205,35,9,2,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
206,35,9,2,6,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
207,35,10,1,5,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
208,36,6,2,1,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
209,35,9,2,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
210,36,9,2,3,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
211,55,7,0,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
212,59,1,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
213,57,8,1,6,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
214,39,3,1,5,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
215,39,7,1,1,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
216,30,3,2,4,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
217,30,3,2,4,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
218,50,7,1,1,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
219,40,6,1,4,0,0,0,1,4,0,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
220,35,1,1,4,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
221,43,4,1,4,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
222,36,6,2,2,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
223,46,4,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
224,40,4,1,3,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
225,58,8,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
226,42,4,1,6,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
227,35,1,2,6,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
228,43,8,1,1,0,0,0,1,4,0,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
229,45,3,1,1,0,1,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
230,39,1,1,5,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
231,50,6,0,5,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
232,32,2,0,1,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
233,39,1,1,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
234,52,5,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
235,44,1,1,5,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
236,56,3,1,1,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
237,48,1,1,4,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
238,33,6,1,4,0,0,1,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
239,43,2,1,6,0,0,1,1,4,0,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
240,57,8,1,4,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
241,36,4,2,5,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
242,34,2,1,6,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
243,34,6,2,3,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
244,30,4,1,6,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
245,33,6,0,4,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
246,32,4,2,5,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
247,36,4,2,4,0,1,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
248,36,3,2,4,0,0,1,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
249,33,6,2,4,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
250,40,4,0,5,0,0,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
251,41,3,1,1,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
252,51,6,1,2,0,1,0,1,4,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
253,36,4,1,5,0,1,0,1,4,0,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
254,28,6,1,4,0,0,0,1,4,0,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
255,53,6,1,4,0,1,1,1,4,0,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
